date,market_hash_name,price,daily_volume,weapon_type,rarity,wear,is_stattrak,is_floor_price,days_to_next_major,days_since_last_major,is_major_active,days_since_cs2_announce,steam_ccu
2019-01-01,AK-47 | Elite Build (Minimal Wear),2.126,915,AK-47,Mil-Spec,MW,0,0,43,-43,0,-1541,14000000
2019-01-02,AK-47 | Elite Build (Minimal Wear),2.132,1029,AK-47,Mil-Spec,MW,0,0,42,-42,0,-1540,14000000
2019-01-03,AK-47 | Elite Build (Minimal Wear),2.156,981,AK-47,Mil-Spec,MW,0,0,41,-41,0,-1539,14000000
2019-01-04,AK-47 | Elite Build (Minimal Wear),2.245,961,AK-47,Mil-Spec,MW,0,0,40,-40,0,-1538,14000000
2019-01-05,AK-47 | Elite Build (Minimal Wear),2.31,905,AK-47,Mil-Spec,MW,0,0,39,-39,0,-1537,14000000
2019-01-06,AK-47 | Elite Build (Minimal Wear),2.357,816,AK-47,Mil-Spec,MW,0,0,38,-38,0,-1536,14000000
2019-01-07,AK-47 | Elite Build (Minimal Wear),2.289,884,AK-47,Mil-Spec,MW,0,0,37,-37,0,-1535,14000000
2019-01-08,AK-47 | Elite Build (Minimal Wear),2.331,796,AK-47,Mil-Spec,MW,0,0,36,-36,0,-1534,14000000
2019-01-09,AK-47 | Elite Build (Minimal Wear),2.356,810,AK-47,Mil-Spec,MW,0,0,35,-35,0,-1533,14000000
2019-01-10,AK-47 | Elite Build (Minimal Wear),2.425,799,AK-47,Mil-Spec,MW,0,0,34,-34,0,-1532,14000000
2019-01-11,AK-47 | Elite Build (Minimal Wear),2.463,878,AK-47,Mil-Spec,MW,0,0,33,-33,0,-1531,14000000
2019-01-12,AK-47 | Elite Build (Minimal Wear),2.476,996,AK-47,Mil-Spec,MW,0,0,32,-32,0,-1530,14000000
2019-01-13,AK-47 | Elite Build (Minimal Wear),2.477,840,AK-47,Mil-Spec,MW,0,0,31,-31,0,-1529,14000000
2019-01-14,AK-47 | Elite Build (Minimal Wear),2.43,874,AK-47,Mil-Spec,MW,0,0,30,-30,0,-1528,14000000
2019-01-15,AK-47 | Elite Build (Minimal Wear),2.484,775,AK-47,Mil-Spec,MW,0,0,29,-29,0,-1527,14000000
2019-01-16,AK-47 | Elite Build (Minimal Wear),2.374,857,AK-47,Mil-Spec,MW,0,0,28,-28,0,-1526,14000000
2019-01-17,AK-47 | Elite Build (Minimal Wear),2.419,755,AK-47,Mil-Spec,MW,0,0,27,-27,0,-1525,14000000
2019-01-18,AK-47 | Elite Build (Minimal Wear),2.373,869,AK-47,Mil-Spec,MW,0,0,26,-26,0,-1524,14000000
2019-01-19,AK-47 | Elite Build (Minimal Wear),2.436,978,AK-47,Mil-Spec,MW,0,0,25,-25,0,-1523,14000000
2019-01-20,AK-47 | Elite Build (Minimal Wear),2.378000000000001,880,AK-47,Mil-Spec,MW,0,0,24,-24,0,-1522,14000000
2019-01-21,AK-47 | Elite Build (Minimal Wear),2.444,837,AK-47,Mil-Spec,MW,0,0,23,-23,0,-1521,14000000
2019-01-22,AK-47 | Elite Build (Minimal Wear),2.443,760,AK-47,Mil-Spec,MW,0,0,22,-22,0,-1520,14000000
2019-01-23,AK-47 | Elite Build (Minimal Wear),2.481,771,AK-47,Mil-Spec,MW,0,0,21,-21,0,-1519,14000000
2019-01-24,AK-47 | Elite Build (Minimal Wear),2.479,769,AK-47,Mil-Spec,MW,0,0,20,-20,0,-1518,14000000
2019-01-25,AK-47 | Elite Build (Minimal Wear),2.491,875,AK-47,Mil-Spec,MW,0,0,19,-19,0,-1517,14000000
2019-01-26,AK-47 | Elite Build (Minimal Wear),2.5580000000000003,867,AK-47,Mil-Spec,MW,0,0,18,-18,0,-1516,14000000
2019-01-27,AK-47 | Elite Build (Minimal Wear),2.558,885,AK-47,Mil-Spec,MW,0,0,17,-17,0,-1515,14000000
2019-01-28,AK-47 | Elite Build (Minimal Wear),2.533,750,AK-47,Mil-Spec,MW,0,0,16,-16,0,-1514,14000000
2019-01-29,AK-47 | Elite Build (Minimal Wear),2.53,764,AK-47,Mil-Spec,MW,0,0,15,-15,0,-1513,14000000
2019-01-30,AK-47 | Elite Build (Minimal Wear),2.565,703,AK-47,Mil-Spec,MW,0,0,14,-14,0,-1512,14000000
2019-01-31,AK-47 | Elite Build (Minimal Wear),2.54,721,AK-47,Mil-Spec,MW,0,0,13,-13,0,-1511,14000000
2019-02-01,AK-47 | Elite Build (Minimal Wear),2.568,779,AK-47,Mil-Spec,MW,0,0,12,-12,0,-1510,14500000
2019-02-02,AK-47 | Elite Build (Minimal Wear),2.5820000000000003,878,AK-47,Mil-Spec,MW,0,0,11,-11,0,-1509,14500000
2019-02-03,AK-47 | Elite Build (Minimal Wear),2.535,793,AK-47,Mil-Spec,MW,0,0,10,-10,0,-1508,14500000
2019-02-04,AK-47 | Elite Build (Minimal Wear),2.494,786,AK-47,Mil-Spec,MW,0,0,9,-9,0,-1507,14500000
2019-02-05,AK-47 | Elite Build (Minimal Wear),2.392,848,AK-47,Mil-Spec,MW,0,0,8,-8,0,-1506,14500000
2019-02-06,AK-47 | Elite Build (Minimal Wear),2.381,822,AK-47,Mil-Spec,MW,0,0,7,-7,0,-1505,14500000
2019-02-07,AK-47 | Elite Build (Minimal Wear),2.296,928,AK-47,Mil-Spec,MW,0,0,6,-6,0,-1504,14500000
2019-02-08,AK-47 | Elite Build (Minimal Wear),2.263,898,AK-47,Mil-Spec,MW,0,0,5,-5,0,-1503,14500000
2019-02-09,AK-47 | Elite Build (Minimal Wear),2.264,961,AK-47,Mil-Spec,MW,0,0,4,-4,0,-1502,14500000
2019-02-10,AK-47 | Elite Build (Minimal Wear),2.227,890,AK-47,Mil-Spec,MW,0,0,3,-3,0,-1501,14500000
2019-02-11,AK-47 | Elite Build (Minimal Wear),2.264,742,AK-47,Mil-Spec,MW,0,0,2,-2,0,-1500,14500000
2019-02-12,AK-47 | Elite Build (Minimal Wear),2.324,660,AK-47,Mil-Spec,MW,0,0,1,-1,0,-1499,14500000
2019-02-13,AK-47 | Elite Build (Minimal Wear),2.381,669,AK-47,Mil-Spec,MW,0,0,0,0,1,-1498,14500000
2019-02-14,AK-47 | Elite Build (Minimal Wear),2.426,561,AK-47,Mil-Spec,MW,0,0,0,1,1,-1497,14500000
2019-02-15,AK-47 | Elite Build (Minimal Wear),2.475,741,AK-47,Mil-Spec,MW,0,0,0,2,1,-1496,14500000
2019-02-16,AK-47 | Elite Build (Minimal Wear),2.46,763,AK-47,Mil-Spec,MW,0,0,0,3,1,-1495,14500000
2019-02-17,AK-47 | Elite Build (Minimal Wear),2.461,742,AK-47,Mil-Spec,MW,0,0,0,4,1,-1494,14500000
2019-02-18,AK-47 | Elite Build (Minimal Wear),2.435,677,AK-47,Mil-Spec,MW,0,0,0,5,1,-1493,14500000
2019-02-19,AK-47 | Elite Build (Minimal Wear),2.447,591,AK-47,Mil-Spec,MW,0,0,0,6,1,-1492,14500000
2019-02-20,AK-47 | Elite Build (Minimal Wear),2.441,604,AK-47,Mil-Spec,MW,0,0,0,7,1,-1491,14500000
2019-02-21,AK-47 | Elite Build (Minimal Wear),2.5,592,AK-47,Mil-Spec,MW,0,0,0,8,1,-1490,14500000
2019-02-22,AK-47 | Elite Build (Minimal Wear),2.457,706,AK-47,Mil-Spec,MW,0,0,0,9,1,-1489,14500000
2019-02-23,AK-47 | Elite Build (Minimal Wear),2.493,799,AK-47,Mil-Spec,MW,0,0,0,10,1,-1488,14500000
2019-02-24,AK-47 | Elite Build (Minimal Wear),2.462,862,AK-47,Mil-Spec,MW,0,0,0,11,1,-1487,14500000
2019-02-25,AK-47 | Elite Build (Minimal Wear),2.47,751,AK-47,Mil-Spec,MW,0,0,0,12,1,-1486,14500000
2019-02-26,AK-47 | Elite Build (Minimal Wear),2.447,642,AK-47,Mil-Spec,MW,0,0,0,13,1,-1485,14500000
2019-02-27,AK-47 | Elite Build (Minimal Wear),2.494,651,AK-47,Mil-Spec,MW,0,0,0,14,1,-1484,14500000
2019-02-28,AK-47 | Elite Build (Minimal Wear),2.451,592,AK-47,Mil-Spec,MW,0,0,0,15,1,-1483,14500000
2019-03-01,AK-47 | Elite Build (Minimal Wear),2.464,756,AK-47,Mil-Spec,MW,0,0,0,16,1,-1482,15000000
2019-03-02,AK-47 | Elite Build (Minimal Wear),2.448,1079,AK-47,Mil-Spec,MW,0,0,0,17,1,-1481,15000000
2019-03-03,AK-47 | Elite Build (Minimal Wear),2.473,922,AK-47,Mil-Spec,MW,0,0,0,0,1,-1480,15000000
2019-03-04,AK-47 | Elite Build (Minimal Wear),2.451,842,AK-47,Mil-Spec,MW,0,0,172,1,0,-1479,15000000
2019-03-05,AK-47 | Elite Build (Minimal Wear),2.456,709,AK-47,Mil-Spec,MW,0,0,171,2,0,-1478,15000000
2019-03-06,AK-47 | Elite Build (Minimal Wear),2.471,709,AK-47,Mil-Spec,MW,0,0,170,3,0,-1477,15000000
2019-03-07,AK-47 | Elite Build (Minimal Wear),2.516,660,AK-47,Mil-Spec,MW,0,0,169,4,0,-1476,15000000
2019-03-08,AK-47 | Elite Build (Minimal Wear),2.56,790,AK-47,Mil-Spec,MW,0,0,168,5,0,-1475,15000000
2019-03-09,AK-47 | Elite Build (Minimal Wear),2.575,815,AK-47,Mil-Spec,MW,0,0,167,6,0,-1474,15000000
2019-03-10,AK-47 | Elite Build (Minimal Wear),2.541,774,AK-47,Mil-Spec,MW,0,0,166,7,0,-1473,15000000
2019-03-11,AK-47 | Elite Build (Minimal Wear),2.564,625,AK-47,Mil-Spec,MW,0,0,165,8,0,-1472,15000000
2019-03-12,AK-47 | Elite Build (Minimal Wear),2.564,687,AK-47,Mil-Spec,MW,0,0,164,9,0,-1471,15000000
2019-03-13,AK-47 | Elite Build (Minimal Wear),2.568,610,AK-47,Mil-Spec,MW,0,0,163,10,0,-1470,15000000
2019-03-14,AK-47 | Elite Build (Minimal Wear),2.554,948,AK-47,Mil-Spec,MW,0,0,162,11,0,-1469,15000000
2019-03-15,AK-47 | Elite Build (Minimal Wear),2.598,1001,AK-47,Mil-Spec,MW,0,0,161,12,0,-1468,15000000
2019-03-16,AK-47 | Elite Build (Minimal Wear),2.596,1159,AK-47,Mil-Spec,MW,0,0,160,13,0,-1467,15000000
